ConceptA,ConceptB,Probability
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Criminal,0.002446097024694205
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Philosopher,0.0012984419137931566
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Religious,0.002093379357110325
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Youtuber,0.00038843033142674737
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Academic,0.0045302175430304535
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ClassicalMusicArtist,0.0001274192574146765
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cricketer,0.01388252649901702
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/GolfPlayer,0.0018733717119548804
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/LatterDaySaint,0.0002614519710965507
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/NascarDriver,0.0006225466832855475
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Pilot,0.0001256556690767571
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Scientist,0.020521113900030113
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/TelevisionHost,4.01216346876663e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/HorseRider,0.00014770052330074956
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/VoiceActor,0.00019575830550905317
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AmericanFootballCoach,3.086279591358946e-06
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SportsManager,0.012664327854599196
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AmericanFootballPlayer,0.012557189863070592
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MusicalArtist,0.03391953540028826
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Politician,0.08680602247781516
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Presenter,0.0002923147670101402
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/GridironFootballPlayer,0.012282510979439646
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Astronaut,0.00030774616496693493
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ComicsCreator,0.0014800915125988546
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/FashionDesigner,0.0003575675355131579
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/JewishLeader,0.0003253820483461289
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/NetballPlayer,0.0002486659556466351
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MotorcycleRider,0.0011485369050700078
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SquashPlayer,0.0003716762422165131
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete,4.805778220830359e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Instrumentalist,5.202585596862224e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SportsTeamMember,0.19624329230198098
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MotorsportRacer,0.00366076849243619
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Wrestler,0.0025263402940695376
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AdultActor,0.0003333181958667662
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/CollegeCoach,0.0051536460204849605
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Priest,0.0002566021031672724
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Poet,0.00010890157986652282
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SoccerPlayer,0.0901264184210329
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/OfficeHolder,0.024993133027909228
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SnookerChamp,1.9399471717113377e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/OrganisationMember,0.1962428514048965
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BasketballPlayer,0.00861027916280698
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ChristianBishop,0.004412057124389854
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Dancer,0.00028570131074294247
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/HandballPlayer,0.0020691300174639337
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Medician,0.0007067580264211987
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Painter,0.001045366987301723
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Skier,0.0015087498230900449
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/VolleyballPlayer,0.0021952265836251705
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Baronet,5.158495888414239e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/RacingDriver,0.0026281875205843826
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Architect,0.002064721046619135
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Economist,0.0007565793969674217
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Governor,0.0003302319162754072
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ScreenWriter,0.0003593311238510773
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/TennisPlayer,0.004224675863485917
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/PlayboyPlaymate,0.0004294337602833734
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Judge,5.3348547222061784e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/WinterSportPlayer,0.013451329150395727
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,0.019262793620924624
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Royalty,0.009101879412002013
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Athlete,0.2389137530350253
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BeautyQueen,0.001206735320221348
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Canoeist,0.00022397571891576352
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Congressman,0.00015916384749722564
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/FigureSkater,0.002161277508120222
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Historian,0.00044266067281776883
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Jockey,0.00045059682033840614
