intersection,probability
"('<wordnet_entertainer_109616922>', '<wordnet_aviator_109826204>')",0.0013990983588354172
"('<wordnet_entertainer_109616922>', '<wordnet_theologian_110705615>')",0.0001776632836616403
"('<wordnet_entertainer_109616922>', '<wordnet_president_110468962>')",0.0001288058806546892
"('<wordnet_entertainer_109616922>', '<wordnet_senator_110578471>')",0.00029314441804170646
"('<wordnet_entertainer_109616922>', '<wordnet_pool_player_110453184>')",1.332474627462302e-05
"('<wordnet_entertainer_109616922>', '<wordnet_calculator_109887034>')",4.441582091541007e-06
"('<wordnet_entertainer_109616922>', '<wordnet_murderer_110338707>')",0.00040862555242177263
"('<wordnet_entertainer_109616922>', '<wordnet_couturier_109972157>')",0.0015012547469408603
"('<wordnet_entertainer_109616922>', '<wordnet_soccer_player_110618342>')",0.00029314441804170646
"('<wordnet_entertainer_109616922>', '<wordnet_ambassador_109787534>')",0.0008216926869350862
"('<wordnet_entertainer_109616922>', '<wordnet_comedian_109940146>')",0.05341890781496369
"('<wordnet_entertainer_109616922>', '<wordnet_speaker_110630188>')",0.004770259166315041
"('<wordnet_entertainer_109616922>', '<wordnet_leader_109623038>')",0.048892935663683405
"('<wordnet_entertainer_109616922>', '<wordnet_lacrosse_player_110242682>')",3.1091074640787045e-05
"('<wordnet_entertainer_109616922>', '<wordnet_volleyball_player_110759047>')",9.771480601390215e-05
"('<wordnet_entertainer_109616922>', '<wordnet_serial_killer_110581464>')",5.329898509849208e-05
"('<wordnet_entertainer_109616922>', '<wordnet_civil_servant_109925459>')",0.00026649492549246043
"('<wordnet_entertainer_109616922>', '<wordnet_climber_109929298>')",0.00013768904483777122
"('<wordnet_entertainer_109616922>', '<wordnet_tennis_player_110701180>')",0.00014213062692931223
"('<wordnet_entertainer_109616922>', '<wordnet_saint_110546850>')",0.001381332030469253
"('<wordnet_entertainer_109616922>', '<wordnet_diver_110019552>')",0.00011548113438006618
"('<wordnet_entertainer_109616922>', '<wordnet_victim_110752093>')",0.0029136778520509007
"('<wordnet_entertainer_109616922>', '<wordnet_snowboarder_110617665>')",4.441582091541007e-05
"('<wordnet_entertainer_109616922>', '<wordnet_poet_110444194>')",0.008607786093406471
"('<wordnet_entertainer_109616922>', '<wordnet_mass_murderer_110298343>')",6.662373137311511e-05
"('<wordnet_entertainer_109616922>', '<wordnet_bowler_109870096>')",4.441582091541007e-06
"('<wordnet_entertainer_109616922>', '<wordnet_pope_110453533>')",2.2207910457705036e-05
"('<wordnet_entertainer_109616922>', '<wordnet_doctor_110020890>')",0.0010926291945190876
"('<wordnet_entertainer_109616922>', '<wordnet_coach_109931640>')",0.0010659797019698417
"('<wordnet_entertainer_109616922>', '<wordnet_dodo_110022908>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_swimmer_110683349>')",0.00033311865686557553
"('<wordnet_entertainer_109616922>', '<wordnet_synthesist_110687231>')",4.441582091541007e-06
"('<wordnet_entertainer_109616922>', '<wordnet_lama_110243664>')",2.2207910457705036e-05
"('<wordnet_entertainer_109616922>', '<wordnet_commanding_officer_109941964>')",0.0030513668968886716
"('<wordnet_entertainer_109616922>', '<wordnet_sumo_wrestler_110674713>')",3.1091074640787045e-05
"('<wordnet_entertainer_109616922>', '<wordnet_spouse_110640620>')",0.0011059539407937107
"('<wordnet_entertainer_109616922>', '<wordnet_performer_110415638>')",0.9862577450087722
"('<wordnet_entertainer_109616922>', '<wordnet_judge_110225219>')",0.0006173799107242
"('<wordnet_entertainer_109616922>', '<wordnet_dramatist_110030277>')",0.013564591707566236
"('<wordnet_entertainer_109616922>', '<wordnet_spree_killer_110581648>')",4.441582091541007e-06
"('<wordnet_entertainer_109616922>', '<wordnet_model_110324560>')",0.032516822492171714
"('<wordnet_entertainer_109616922>', '<wordnet_film_director_110088200>')",0.03717160052410669
"('<wordnet_entertainer_109616922>', '<wordnet_military_officer_110317007>')",0.01093517510937396
"('<wordnet_entertainer_109616922>', '<wordnet_politician_110450303>')",0.00899864531746208
"('<wordnet_entertainer_109616922>', '<wordnet_singer_110599806>')",0.2918297097426103
"('<wordnet_entertainer_109616922>', '<wordnet_campaigner_109889691>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_premier_109907196>')",8.883164183082014e-06
"('<wordnet_entertainer_109616922>', '<wordnet_governor_general_110140597>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_suspect_110681383>')",4.441582091541007e-06
"('<wordnet_entertainer_109616922>', '<wordnet_surfer_110679054>')",0.00011992271647160719
"('<wordnet_entertainer_109616922>', '<wordnet_ballplayer_109835506>')",0.0005018987763441338
"('<wordnet_entertainer_109616922>', '<wordnet_supplier_110677271>')",0.00010215638810544316
"('<wordnet_entertainer_109616922>', '<wordnet_bishop_109857200>')",6.662373137311511e-05
"('<wordnet_entertainer_109616922>', '<wordnet_presenter_110466387>')",0.01778409469453019
"('<wordnet_entertainer_109616922>', '<wordnet_chess_player_109915834>')",0.0001288058806546892
"('<wordnet_entertainer_109616922>', '<wordnet_hockey_player_110179291>')",0.0003153523284994115
"('<wordnet_entertainer_109616922>', '<wordnet_mayor_110303814>')",0.00037753447778098557
"('<wordnet_entertainer_109616922>', '<wordnet_golfer_110136959>')",0.0002531701792178374
"('<wordnet_entertainer_109616922>', '<wordnet_football_player_110101634>')",0.0023851295831575207
"('<wordnet_entertainer_109616922>', '<wordnet_chemist_109913824>')",0.00011548113438006618
"('<wordnet_entertainer_109616922>', '<wordnet_playmate_110441037>')",0.0008439005973927913
"('<wordnet_entertainer_109616922>', '<wordnet_trade_unionist_110720964>')",0.0002620533434009194
"('<wordnet_entertainer_109616922>', '<wordnet_professional_110480253>')",0.029780807923782453
"('<wordnet_entertainer_109616922>', '<wordnet_mountaineer_110334567>')",1.7766328366164028e-05
"('<wordnet_entertainer_109616922>', '<wordnet_journalist_110224578>')",0.009935819138777233
"('<wordnet_entertainer_109616922>', '<wordnet_director_110014939>')",0.01698016833596127
"('<wordnet_entertainer_109616922>', '<wordnet_cyclist_109986189>')",8.883164183082014e-05
"('<wordnet_entertainer_109616922>', '<wordnet_president_110467179>')",0.000688445224188856
"('<wordnet_entertainer_109616922>', '<wordnet_actor_109765278>')",0.534788691731995
"('<wordnet_entertainer_109616922>', '<wordnet_economist_110043643>')",0.00013768904483777122
"('<wordnet_entertainer_109616922>', '<wordnet_professional_110480583>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_rabbi_110502329>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_detainee_110009162>')",0.00011103955228852517
"('<wordnet_entertainer_109616922>', '<wordnet_national_109625401>')",0.005782939883186391
"('<wordnet_entertainer_109616922>', '<wordnet_ski_jumper_110605375>')",1.7766328366164028e-05
"('<wordnet_entertainer_109616922>', '<wordnet_writer_110794014>')",0.09001310266717004
"('<wordnet_entertainer_109616922>', '<wordnet_chief_justice_109916788>')",0.0
"('<wordnet_entertainer_109616922>', '<wordnet_skater_110604491>')",0.005236625285926847
