,ConceptA,ConceptB,Probability
0,1004,1027,0.0188679245283018
1,1004,1038,0.0141509433962264
2,1004,1050,0.0094339622641509
3,1004,1073,0.0283018867924528
4,1004,1112,0.0141509433962264
5,1004,1113,0.0094339622641509
6,1004,1126,0.0235849056603773
7,1019,1077,0.439960139511709
8,1019,1128,0.6716492277030394
9,1027,1038,0.0106382978723404
10,1027,1050,0.0159574468085106
11,1027,1073,0.0212765957446808
12,1027,1078,0.0106382978723404
13,1027,1113,0.0053191489361702
14,1027,1121,0.0319148936170212
15,1027,1126,0.0053191489361702
16,1038,1050,0.005813953488372
17,1038,1073,0.0116279069767441
18,1038,1078,0.0232558139534883
19,1038,1112,0.0116279069767441
20,1038,1113,0.0348837209302325
21,1038,1121,0.0290697674418604
22,1038,1126,0.0348837209302325
23,1050,1073,0.0111731843575419
24,1050,1078,0.0055865921787709
25,1050,1112,0.0223463687150838
26,1050,1113,0.0167597765363128
27,1050,1121,0.0167597765363128
28,1050,1126,0.0223463687150838
29,1073,1078,0.0282485875706214
30,1073,1112,0.0282485875706214
31,1073,1113,0.0225988700564971
32,1073,1121,0.0169491525423728
33,1073,1126,0.0225988700564971
34,1078,1112,0.021505376344086
35,1078,1113,0.032258064516129
36,1078,1121,0.010752688172043
37,1078,1126,0.010752688172043
38,1112,1113,0.0048076923076923
39,1112,1121,0.0240384615384615
40,1112,1126,0.0096153846153846
41,1113,1121,0.0382513661202185
42,1113,1126,0.0163934426229508
43,1121,1126,0.0097087378640776
44,1001,1000,1.0
45,1015,1000,1.0
46,1077,1000,1.0
47,1096,1000,1.0
48,1114,1000,1.0
49,1115,1000,1.0
50,1120,1000,1.0
51,1128,1000,1.0
52,1001,1000,1.0
53,1015,1000,1.0
54,1077,1000,1.0
55,1096,1000,1.0
56,1114,1000,1.0
57,1115,1000,1.0
58,1120,1000,1.0
59,1128,1000,1.0
60,1019,1001,1.0
61,1094,1001,1.0
62,1099,1001,1.0
63,1125,1001,1.0
64,1019,1001,1.0
65,1094,1001,1.0
66,1099,1001,1.0
67,1125,1001,1.0
68,1009,1002,1.0
69,1010,1002,1.0
70,1014,1002,1.0
71,1009,1002,1.0
72,1010,1002,1.0
73,1014,1002,1.0
74,1027,1004,1.0
75,1038,1004,1.0
76,1078,1004,1.0
77,1112,1004,1.0
78,1113,1004,1.0
79,1126,1004,1.0
80,1027,1004,1.0
81,1038,1004,1.0
82,1078,1004,1.0
83,1112,1004,1.0
84,1113,1004,1.0
85,1126,1004,1.0
86,1046,1005,1.0
87,1129,1005,1.0
88,1046,1005,1.0
89,1129,1005,1.0
90,1022,1006,1.0
91,1024,1006,1.0
92,1026,1006,1.0
93,1032,1006,1.0
94,1055,1006,1.0
95,1022,1006,1.0
96,1024,1006,1.0
97,1026,1006,1.0
98,1032,1006,1.0
99,1055,1006,1.0
100,1003,1007,1.0
101,1005,1007,1.0
102,1008,1007,1.0
103,1011,1007,1.0
104,1047,1007,1.0
105,1072,1007,1.0
106,1003,1007,1.0
107,1005,1007,1.0
108,1008,1007,1.0
109,1011,1007,1.0
110,1047,1007,1.0
111,1072,1007,1.0
112,1012,1015,1.0
113,1017,1015,1.0
114,1045,1015,1.0
115,1012,1015,1.0
116,1017,1015,1.0
117,1045,1015,1.0
118,1013,1016,1.0
119,1051,1016,1.0
120,1013,1016,1.0
121,1051,1016,1.0
122,1020,1017,1.0
123,1075,1017,1.0
124,1102,1017,1.0
125,1020,1017,1.0
126,1075,1017,1.0
