ConceptA1,ConceptA2,ConceptB,Probability
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.0013256584685156115
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.04393063583815029
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.35185185185185186
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,0.003236245954692557
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Country,0.003468208092485549
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Settlement,0.027522935779816515
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,0.0075353218210361065
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,0.3238380809595202
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,0.23300970873786409
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,0.03669724770642202
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Island,0.005997001499250375
http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/Country,0.037037037037037035
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,0.009708737864077669
http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Settlement,0.42857142857142855
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/Continent,http://dbpedia.org/ontology/Country,0.6923076923076923
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,1.0
http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Volcano,0.000984251968503937
http://dbpedia.org/ontology/Volcano,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/MountainRange,0.004081632653061225
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,0.021739130434782608
http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Lake,0.5
http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Bay,http://dbpedia.org/ontology/Sea,0.2
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/City,0.004945340968245705
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,0.04215976331360947
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,0.035826524198617225
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/CityDistrict,0.0014792899408284023
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/City,0.004464285714285714
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Village,0.022988505747126436
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Town,0.004464285714285714
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/CityDistrict,0.00017352073572791948
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.16666666666666666
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/City,0.004464285714285714
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/CityDistrict,0.0014792899408284023
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,0.022988505747126436
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,0.00017352073572791948
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Village,0.16666666666666666
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Town,0.004464285714285714
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,0.0014792899408284023
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Village,0.022988505747126436
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/City,0.004464285714285714
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,0.004464285714285714
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.16666666666666666
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/CityDistrict,0.00017352073572791948
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.035826524198617225
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,0.04215976331360947
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,0.004945340968245705
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.16666666666666666
http://dbpedia.org/ontology/CityDistrict,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,0.004464285714285714
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/CityDistrict,0.00017352073572791948
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,0.004945340968245705
http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,0.035826524198617225
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,0.04215976331360947
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,0.04215976331360947
http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/City,0.004945340968245705
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.035826524198617225
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Village,http://dbpedia.org/ontology/Town,0.04215976331360947
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Town,http://dbpedia.org/ontology/Village,0.035826524198617225
