ConceptA1,ConceptA2,ConceptB,Probability
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Mountain,0.2
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/PopulatedPlace,7.646136789387162e-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/NaturalPlace,0.018518518518518517
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/WorldHeritageSite,http://dbpedia.org/ontology/Mountain,0.6666666666666666
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/WorldHeritageSite,7.646136789387162e-05
http://dbpedia.org/ontology/WorldHeritageSite,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/NaturalPlace,0.3333333333333333
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/HistoricPlace,http://dbpedia.org/ontology/Mountain,0.7
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/HistoricPlace,0.0005352295752571013
http://dbpedia.org/ontology/HistoricPlace,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/NaturalPlace,0.4827586206896552
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Island,0.1
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/NaturalPlace,0.00010525207872855489
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/PopulatedPlace,0.02702702702702703
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Region,0.2
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/NaturalPlace,3.670196171985393e-05
http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace,1.0
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/WineRegion,http://dbpedia.org/ontology/Region,0.7
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/WineRegion,0.00012845686601948875
http://dbpedia.org/ontology/WineRegion,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace,1.0
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/WorldHeritageSite,http://dbpedia.org/ontology/Region,0.2
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/WorldHeritageSite,5.505294257978089e-05
http://dbpedia.org/ontology/WorldHeritageSite,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace,1.0
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/HistoricPlace,http://dbpedia.org/ontology/Settlement,0.6190476190476191
