ConceptA(x),"Predicate(x,y)",ConceptB(y),Probability
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/rector,http://dbpedia.org/ontology/Person,0.000511492
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/championInMixedDouble,http://dbpedia.org/ontology/Person,9.65E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/caps,http://dbpedia.org/ontology/Person,0.000118222
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/headLabel,http://dbpedia.org/ontology/Person,0.000272635
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/leader2Name,http://dbpedia.org/ontology/Person,0.001732316
http://dbpedia.org/ontology/Organisation,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/Person,0.010193643
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Person,0.001013333
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/Person,0.000279873
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/spokesperson,http://dbpedia.org/ontology/Person,0.000185778
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mostAppearances,http://dbpedia.org/ontology/Person,9.65E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/notableCommanders,http://dbpedia.org/ontology/Person,0.013863355
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/footer,http://dbpedia.org/ontology/Person,2.65E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/gender,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/founded,http://dbpedia.org/ontology/Person,0.000190603
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/Person,0.000538031
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/thirdCommander,http://dbpedia.org/ontology/Person,0.000323301
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/ceo,http://dbpedia.org/ontology/Person,0.000221968
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/formation,http://dbpedia.org/ontology/Person,2.90E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/fate,http://dbpedia.org/ontology/Person,0.00017854
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/sponsor,http://dbpedia.org/ontology/Person,2.65E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/leader7Type,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/relative,http://dbpedia.org/ontology/Person,0.000135111
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/ruPosition,http://dbpedia.org/ontology/Person,0.000759999
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/destination,http://dbpedia.org/ontology/Person,2.41E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/majorShrine,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/typeOfElectrification,http://dbpedia.org/ontology/Person,3.62E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chiefMinisterTitle,http://dbpedia.org/ontology/Person,7.96E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/Person,0.000357079
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/regional1Name,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief4Name,http://dbpedia.org/ontology/Person,0.000149587
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief9Position,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/minister1Pfo,http://dbpedia.org/ontology/Person,0.000750349
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/minister9Name,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/provost,http://dbpedia.org/ontology/Person,0.000152
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/Person,2.90E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/rcm,http://dbpedia.org/ontology/Person,0.000260571
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/Person,8.44E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/affiliations,http://dbpedia.org/ontology/Person,0.000815491
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/cb,http://dbpedia.org/ontology/Person,4.83E-05
