"Predicate(x,y)",ConceptA(y),ConceptB(x),Probability
http://dbpedia.org/ontology/rector,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,1.0
http://dbpedia.org/ontology/championInMixedDouble,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.04250797024442083
http://dbpedia.org/property/caps,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.9423076923076923
http://dbpedia.org/property/headLabel,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.9186991869918699
http://dbpedia.org/property/leader2Name,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.9134860050890585
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.011582291840857939
http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.0029515938606847697
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.0005883218120311811
http://dbpedia.org/property/spokesperson,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.7064220183486238
http://dbpedia.org/property/mostAppearances,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.8695652173913043
http://dbpedia.org/property/notableCommanders,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.998262682418346
http://dbpedia.org/property/footer,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.15942028985507245
http://dbpedia.org/property/gender,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.1
http://dbpedia.org/property/founded,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.9294117647058824
http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.948936170212766
http://dbpedia.org/ontology/thirdCommander,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,1.0
http://dbpedia.org/property/ceo,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.34980988593155893
http://dbpedia.org/property/formation,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,0.7058823529411765
